year	rep	route	site_num	fish	C	H	M
2003	1	Upper Knight	3	85	0	0	0
2003	1	Upper Knight	3	86	0	0	0
2003	1	Upper Knight	3	87	0	0	0
2003	1	Upper Knight	3	88	0	0	0
2003	1	Upper Knight	3	89	0	0	0
2003	1	Upper Knight	3	90	0	0	0
2003	1	Upper Knight	3	91	0	0	0
2003	1	Upper Knight	3	92	0	0	0
2003	1	Upper Knight	3	93	0	0	0
2003	1	Upper Knight	3	94	0	0	0
2003	1	Upper Knight	3	95	0	0	0
2003	1	Upper Knight	3	96	0	0	0
2003	1	Upper Knight	3	97	0	0	0
2003	1	Upper Knight	3	98	0	0	0
2003	1	Upper Knight	3	99	0	0	0
2003	1	Upper Knight	3	100	0	0	0
2003	1	Upper Knight	4	1	0	0	0
2003	1	Upper Knight	4	2	0	1	1
2003	1	Upper Knight	4	3	0	0	0
2003	1	Upper Knight	4	4	0	0	0
2003	1	Upper Knight	4	5	0	0	0
2003	1	Upper Knight	4	6	0	0	0
2003	1	Upper Knight	4	7	0	0	0
2003	1	Upper Knight	4	8	0	0	0
2003	1	Upper Knight	4	9	0	0	0
2003	1	Upper Knight	4	10	0	0	0
2003	1	Upper Knight	4	11	0	0	0
2003	1	Upper Knight	4	12	0	1	0
2003	1	Upper Knight	4	13	0	0	0
2003	1	Upper Knight	4	14	0	0	1
2003	1	Upper Knight	4	15	0	0	0
2003	1	Upper Knight	4	16	0	0	0
2003	1	Upper Knight	4	17	0	0	0
2003	1	Upper Knight	4	18	0	0	1
2003	1	Upper Knight	4	19	0	2	0
2003	1	Upper Knight	4	20	0	0	0
2003	1	Upper Knight	4	21	0	1	0
2003	1	Upper Knight	4	22	0	0	0
2003	1	Upper Knight	4	23	0	0	0
2003	1	Upper Knight	4	24	0	0	0
2003	1	Upper Knight	4	25	0	0	0
2003	1	Upper Knight	4	26	0	0	0
2003	1	Upper Knight	4	27	0	0	0
2003	1	Upper Knight	4	28	0	0	0
2003	1	Upper Knight	4	29	0	0	1
2003	1	Upper Knight	4	30	0	0	0
